frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
875,2026-03-29 22:26:07.989,person-WARNING,WARNING,SAFE,True,False,45.64,41.34
876,2026-03-29 22:26:08.019,person-WARNING,WARNING,SAFE,True,False,66.57,35.14
877,2026-03-29 22:26:08.046,person-WARNING,WARNING,SAFE,True,False,63.22,38.82
878,2026-03-29 22:26:08.075,person-WARNING,WARNING,SAFE,True,False,62.54,34.97
879,2026-03-29 22:26:08.107,person-WARNING,WARNING,SAFE,True,False,71.79,32.95
880,2026-03-29 22:26:08.136,person-WARNING,WARNING,SAFE,True,False,66.99,35.39
881,2026-03-29 22:26:08.159,person-WARNING,WARNING,SAFE,True,False,54.73,45.53
882,2026-03-29 22:26:08.184,person-WARNING,WARNING,SAFE,True,False,53.22,42.38
883,2026-03-29 22:26:08.209,person-WARNING,WARNING,SAFE,True,False,67.73,41.02
884,2026-03-29 22:26:08.235,person-WARNING,WARNING,SAFE,True,False,70.16,41.13
885,2026-03-29 22:26:08.260,person-WARNING,WARNING,SAFE,True,False,64.11,41.41
886,2026-03-29 22:26:08.288,person-SAFE,SAFE,SAFE,True,False,69.66,36.93
887,2026-03-29 22:26:08.359,person-SAFE,SAFE,SAFE,True,False,101.71,14.27
888,2026-03-29 22:26:08.424,person-SAFE,SAFE,SAFE,True,False,105.53,15.53
889,2026-03-29 22:26:08.466,person-SAFE,SAFE,SAFE,True,False,77.77,24.69
890,2026-03-29 22:26:08.485,person-SAFE,SAFE,SAFE,True,False,66.23,55.41
891,2026-03-29 22:26:08.506,person-SAFE,SAFE,SAFE,True,False,65.12,51.03
892,2026-03-29 22:26:08.530,person-SAFE,SAFE,SAFE,True,False,49.15,42.75
893,2026-03-29 22:26:08.550,person-SAFE,SAFE,SAFE,True,False,47.86,53.49
894,2026-03-29 22:26:08.572,person-SAFE,SAFE,SAFE,True,False,47.48,48.19
895,2026-03-29 22:26:08.594,person-SAFE,SAFE,SAFE,True,False,63.62,46.79
896,2026-03-29 22:26:08.617,person-SAFE,SAFE,SAFE,True,False,65.35,47.46
897,2026-03-29 22:26:08.641,person-SAFE,SAFE,SAFE,True,False,53.01,43.33
898,2026-03-29 22:26:08.667,person-SAFE,SAFE,SAFE,True,False,52.03,40.15
899,2026-03-29 22:26:08.693,person-SAFE,SAFE,SAFE,True,False,50.72,38.87
900,2026-03-29 22:26:08.720,person-SAFE,SAFE,SAFE,True,False,69.04,38.72
901,2026-03-29 22:26:08.748,person-SAFE,SAFE,SAFE,True,False,55.76,37.84
902,2026-03-29 22:26:08.779,person-SAFE,SAFE,SAFE,True,False,56.36,32.86
903,2026-03-29 22:26:08.815,person-SAFE,SAFE,SAFE,True,False,58.55,29.19
904,2026-03-29 22:26:08.858,person-SAFE,SAFE,SAFE,True,False,64.15,24.02
905,2026-03-29 22:26:08.898,person-SAFE,SAFE,SAFE,True,False,65.3,25.48
906,2026-03-29 22:26:08.938,person-SAFE,SAFE,SAFE,True,False,78.86,25.83
907,2026-03-29 22:26:08.977,person-SAFE,SAFE,SAFE,True,False,79.69,26.72
908,2026-03-29 22:26:09.011,person-SAFE,SAFE,SAFE,True,False,72.39,30.51
909,2026-03-29 22:26:09.043,person-SAFE,SAFE,SAFE,True,False,56.9,32.98
910,2026-03-29 22:26:09.074,person-SAFE,SAFE,SAFE,True,False,62.08,32.47
911,2026-03-29 22:26:09.106,person-SAFE,SAFE,SAFE,True,False,51.03,32.49
912,2026-03-29 22:26:09.132,person-SAFE,SAFE,SAFE,True,False,56.58,41.15
913,2026-03-29 22:26:09.157,person-SAFE,SAFE,SAFE,True,False,73.64,42.17
914,2026-03-29 22:26:09.181,person-SAFE,SAFE,SAFE,True,False,60.27,43.58
915,2026-03-29 22:26:09.204,person-SAFE,SAFE,SAFE,True,False,49.66,44.77
916,2026-03-29 22:26:09.229,person-SAFE,SAFE,SAFE,True,False,70.42,42.09
917,2026-03-29 22:26:09.252,person-SAFE,SAFE,SAFE,True,False,46.98,44.95
918,2026-03-29 22:26:09.276,person-SAFE,SAFE,SAFE,True,False,46.93,44.89
919,2026-03-29 22:26:09.298,person-SAFE,SAFE,SAFE,True,False,70.13,46.89
